number;standard_number;standard_code;professional_area;professional_type;standard_name;order_Mintrud
"1";"969";"16.110";"Строительство и жилищно-коммунальное хозяйство";"Проектирование системы обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений";"Специалист по подготовке проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений";"605н от 31.08.2021"
"2";"1002";"16.127";"Строительство и жилищно-коммунальное хозяйство";"Проектирование подземных инженерных коммуникаций с применением бестраншейных технологий";"Специалист по проектированию подземных инженерных коммуникаций с применением бестраншейных технологий";"214н от 06.04.2021"
"3";"997";"40.175";"Сквозные виды профессиональной деятельности";"Монтаж технических средств охраны и безопасности объектов капитального строительства";"Монтажник слаботочных систем охраны и безопасности";"580н от 30.08.2021"
"4";"1139";"07.008";"Административно-управленческая и офисная деятельность";"Консультационное и организационное сопровождение системы управления процессами трудовой миграции";"Специалист по трудовой миграции";"672н от 29.10.2018"
"5";"270";"32.002";"Авиастроение";"Проектирование и конструирование авиационной техники";"Специалист по проектированию и конструированию авиационной техники";"753н от 21.10.2021"
"6";"272";"32.004";"Авиастроение";"Обеспечение прочности авиационных конструкций";"Специалист по прочностным расчетам авиационных конструкций";"631н от 15.09.2021"
"7";"701";"32.005";"Авиастроение";"Управление программами в организациях авиастроительной отрасли";"Специалист по управлению авиационными программами";"1045н от 21.12.2015"
"8";"703";"32.006";"Авиастроение";"Организация процессов послепродажного обслуживания авиационной техники и сервисной поддержки потребителей и управление ими";"Специалист по послепродажному обслуживанию авиационной техники";"1052н от 21.12.2015"
"9";"704";"32.007";"Авиастроение";"Управление цепью поставок в авиастроении";"Специалист по управлению цепью поставок в авиастроении";"1055н от 21.12.2015"
"10";"217";"31.011";"Автомобилестроение";"Осуществление продаж транспортных средств и оборудования";"Специалист по продажам в автомобилестроении";"678н от 09.10.2014"
"11";"209";"31.006";"Автомобилестроение";"Разработка дизайн-проектов для производства транспортных средств";"Дизайнер автомобилестроения";"813н от 28.10.2014"
"12";"213";"31.008";"Автомобилестроение";"Проведение химико-физических анализов по исследованию свойств материалов при производстве транспортных средств";"Химик-технолог в автомобилестроении";"689н от 10.10.2014"
"13";"220";"31.013";"Автомобилестроение";"Термическая обработка деталей при производстве транспортных средств";"Специалист по термообработке в автомобилестроении";"710н от 13.10.2014"
"14";"221";"31.014";"Автомобилестроение";"Технологическая подготовка и сопровождение производства автотранспортных средств (АТС)";"Технолог в автомобилестроении";"264н от 13.03.2017"
"15";"227";"31.020";"Автомобилестроение";"Производство металлических конструкций для производства транспортных средств";"Специалист по металлоконструкциям в автомобилестроении";"928н от 21.11.2014"
"16";"307";"07.001";"Административно-управленческая и офисная деятельность";"Медиация (урегулирование споров с помощью процедуры медиации)";"Специалист в области медиации (медиатор)";"1041н от 15.12.2014"
"17";"447";"07.002";"Административно-управленческая и офисная деятельность";"Организационное и документационное обеспечение управления организациями любых организационно-правовых форм";"Специалист по организационному и документационному обеспечению управления организацией";"333н от 15.06.2020"
"18";"134";"24.023";"Атомная промышленность";"Эксплуатационное обслуживание котлов в атомной энергетике";"Машинист котлов в атомной энергетике";"359н от 04.06.2014"
"19";"144";"24.024";"Атомная промышленность";"Обращение с ядерным топливом (ЯТ) и радиоактивными отходами (РО)";"Специалист по организации спецпроизводства в области атомного флота (всех специальностей, всех категорий)";"618н от 08.09.2014"
"20";"30";"24.001";"Атомная промышленность";"Переработка радиоактивных отходов (далее - РАО)";"Переработчик радиоактивных отходов";"553н от 02.09.2020"
"21";"351";"24.026";"Атомная промышленность";"Техническое обслуживание контрольно-измерительных приборов и автоматики (далее - КИПиА) на объектах использования атомной энергии (далее - ОИАЭ)";"Слесарь по контрольно-измерительным приборам и автоматике в атомной энергетике";"513н от 24.08.2020"
"22";"41";"24.005";"Атомная промышленность";"Управление проектами и программами в области атомного флота";"Специалист по управлению проектами и программами в области атомного флота";"190н от 07.04.2014"
"23";"422";"24.027";"Атомная промышленность";"Контроль за состоянием наземных и гидротехнических сооружений ПАТЭС";"Инженер наземных и гидротехнических сооружений плавучих атомных станций";"152н от 10.03.2015"
"24";"429";"24.028";"Атомная промышленность";"Организация и проведение работ по обеспечению ядерной, радиационной, технической, пожарной безопасности и охраны труда при работе со свежим и отработавшим ядерным топливом в процессе эксплуатации атомной станции";"Специалист ядерно-физической лаборатории в области атомной энергетики";"159н от 12.03.2015"
"25";"443";"24.029";"Атомная промышленность";"Наладка и регулировка оборудования с программным управлением для производства изделий в атомной промышленности";"Наладчик станков и манипуляторов в атомной промышленности";"147н от 10.03.2015"
